序号,文件名,本地路径,发布人,发布时间,发布内容,评论数,评论内容
1,CD01E38A-854E-4E77-9D31-6F9F8C93F502_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/CD01E38A-854E-4E77-9D31-6F9F8C93F502_big.jpg,Rua3,2026年03月03日 19:38,溧阳温德姆 泡汤池,0,
2,86C83EA5-F286-43E5-9071-3A475E65A603_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/86C83EA5-F286-43E5-9071-3A475E65A603_big.jpg,Rua3,2026年03月03日 19:38,溧阳温德姆 泡汤池,0,
3,1D46602C-8556-42BD-AFF3-2C9D5D3C3665_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/1D46602C-8556-42BD-AFF3-2C9D5D3C3665_big.jpg,Rua3,2026年03月03日 19:37,溧阳温德姆 泡汤池,0,
4,24A531CF-3E3E-4260-A4DA-10EBB3AD409C_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/24A531CF-3E3E-4260-A4DA-10EBB3AD409C_big.jpg,Pend,2026年03月03日 19:37,上海金茂君悦，凯悦冒险家要饭行政大床,0,
5,3AA3D1B7-085A-4BAA-80CD-FC3C01B60F87_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/3AA3D1B7-085A-4BAA-80CD-FC3C01B60F87_big.jpg,Pend,2026年03月03日 19:37,上海金茂君悦，凯悦冒险家要饭行政大床,0,
6,0C8F3BDF-F382-4B15-8048-1BC3B84A545E_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/0C8F3BDF-F382-4B15-8048-1BC3B84A545E_big.jpg,Pend,2026年03月03日 19:37,上海金茂君悦，凯悦冒险家要饭行政大床,0,
7,1F98309D-12DF-46AC-90B2-4BEB7DFDC4EF_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/1F98309D-12DF-46AC-90B2-4BEB7DFDC4EF_big.jpg,Rua3,2026年03月03日 19:35,溧阳温德姆 备品全是法国娇兰很爽,0,
8,BC75E375-6FEC-4FA0-A880-C2EC543BC420_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/BC75E375-6FEC-4FA0-A880-C2EC543BC420_big.jpg,Rua3,2026年03月03日 19:35,溧阳温德姆 备品全是法国娇兰很爽,0,
9,3158A757-6A57-42DF-93BE-658A8A8FF446_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/3158A757-6A57-42DF-93BE-658A8A8FF446_big.jpg,Pend,2026年03月03日 19:33,横滨希尔顿，金卡要饭行政层无行政待遇,0,
10,9B84C12E-AC90-481B-852B-82C3D6914BFF_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/9B84C12E-AC90-481B-852B-82C3D6914BFF_big.jpg,Pend,2026年03月03日 19:33,横滨希尔顿，金卡要饭行政层无行政待遇,0,
